student_id,semester,hostel_resident,internet_access,attendance_percentage,avg_assignment_score,lms_login_frequency,library_visits_per_month,disciplinary_actions,dropout,engagement_index,academic_risk_score,attendance_volatility,resource_utilization_score,composite_dropout_risk
S00001,1,0,1,56.68,23.61,28,2,3,0,43.1283,91.39,0.2133,0.3769,0.7204
S00002,7,1,1,62.94,33.13,27,4,2,1,48.8853,76.87,0.1264,0.6538,0.5729
S00003,6,1,1,80.01,49.4,38,2,0,0,58.3925,50.6,0.1105,0.5769,0.4538
S00004,4,0,0,71.64,41.19,38,4,1,0,58.8907,63.81,0.0057,0.1538,0.6107
S00005,4,0,1,64.84,33.66,6,1,0,0,31.4184,66.34,0.1001,0.3385,0.6708
S00006,7,0,1,58.45,25.18,20,0,0,1,35.2444,74.82,0.1888,0.3,0.7009
S00007,1,1,1,56.8,24.6,16,3,0,0,37.9808,75.4,0.2117,0.6154,0.6148
S00008,6,1,0,70.02,48.35,23,6,1,0,53.1905,56.65,0.0282,0.4308,0.5327
S00009,2,1,1,100.0,54.09,29,4,0,0,64.8957,45.91,0.3879,0.6538,0.3931
S00010,1,0,1,80.49,49.6,21,1,1,0,46.5767,55.4,0.1171,0.3385,0.574
S00011,5,0,1,72.05,29.16,6,5,2,0,41.9947,80.84,0.0,0.4923,0.6533
S00012,8,0,1,82.61,63.89,27,4,0,0,56.7533,36.11,0.1466,0.4538,0.4324
S00013,6,0,0,60.62,32.32,26,2,0,0,43.5179,67.68,0.1586,0.0769,0.6992
S00014,7,1,0,71.93,24.84,18,2,1,0,43.2961,80.16,0.0017,0.2769,0.6999
S00015,6,0,1,63.17,17.19,17,6,2,1,46.8912,92.81,0.1232,0.5308,0.6744
S00016,7,0,0,100.0,47.21,27,5,0,0,65.6323,52.79,0.3879,0.1923,0.5334
S00017,5,0,1,54.99,36.35,8,4,0,0,34.4341,63.65,0.2368,0.4538,0.6206
S00018,2,0,0,76.7,47.89,22,1,0,0,45.6539,52.11,0.0645,0.0385,0.639
S00019,7,1,1,61.72,33.13,21,2,0,0,40.9918,66.87,0.1434,0.5769,0.5798
S00020,4,0,1,83.08,72.61,36,4,0,0,62.2802,27.39,0.1531,0.4538,0.3781
S00021,5,1,0,76.4,24.45,14,2,0,0,42.7112,75.55,0.0604,0.2769,0.6835
S00022,3,1,0,90.82,60.51,29,0,0,0,53.5314,39.49,0.2605,0.2,0.5206
S00023,2,1,1,72.05,45.44,36,0,0,1,50.1759,54.56,0.0,0.5,0.5176
S00024,8,1,1,61.6,46.57,9,1,0,0,31.9021,53.43,0.145,0.5385,0.5674
S00025,7,1,0,72.05,99.0498594680401,43,5,0,0,63.9439,0.9501,0.0,0.3923,0.2819
S00026,6,1,1,80.33,53.83,22,6,1,0,56.7213,51.17,0.1149,0.7308,0.4235
S00027,4,0,1,63.74,35.93,25,1,2,0,42.2496,74.07,0.1153,0.3385,0.6638
S00028,7,0,1,75.08,66.23,22,2,0,0,46.929,33.77,0.0421,0.3769,0.4766
S00029,5,1,1,81.46,49.31,29,3,1,0,55.5566,55.69,0.1306,0.6154,0.4745
S00030,4,0,1,72.05,51.37,38,4,0,0,59.0547,48.63,0.0,0.4538,0.4744
S00031,4,0,0,79.44,47.11,24,5,0,0,55.6287,52.89,0.1026,0.1923,0.5688
S00032,2,1,1,86.5,59.52,36,3,1,0,61.7252,45.48,0.2006,0.6154,0.412
S00033,1,0,1,85.02,64.55,29,4,1,0,58.9037,40.45,0.18,0.4538,0.4422
S00034,5,0,1,59.29,44.44,12,5,0,0,40.45,55.56,0.1771,0.4923,0.5576
S00035,8,1,0,100.0,35.64,31,4,1,0,66.0821,69.36,0.3879,0.3538,0.5577
S00036,1,0,1,100.0,52.79,31,3,0,0,64.1591,47.21,0.3879,0.4154,0.4604
S00037,7,1,0,84.01,34.82,15,7,0,0,55.9638,65.18,0.166,0.4692,0.5475
S00038,7,0,1,72.58,49.64,26,0,0,0,44.4557,50.36,0.0074,0.3,0.5708
S00039,3,1,1,72.84,37.32,28,6,0,0,57.2846,62.68,0.011,0.7308,0.4675
S00040,6,1,0,67.14,60.36,27,2,0,0,46.7191,39.64,0.0681,0.2769,0.5258
S00041,2,0,1,69.08,35.67,33,2,0,0,51.0544,64.33,0.0412,0.3769,0.5844
S00042,7,0,0,39.2,9.88,18,3,0,1,32.1272,90.12,0.4559,0.1154,0.8192
S00043,6,0,1,94.95,52.8,26,2,0,0,57.2499,47.2,0.3178,0.3769,0.4942
S00044,3,0,1,89.66,56.42,26,2,0,0,55.1339,43.58,0.2444,0.3769,0.4871
S00045,1,0,1,46.85,18.8,20,2,0,0,34.4506,81.2,0.3498,0.3769,0.71
S00046,8,1,0,85.35,61.81,30,0,1,0,51.9366,43.19,0.1846,0.2,0.541
S00047,4,0,1,71.88,96.47047268900027,22,2,1,0,45.649,8.5295,0.0024,0.3769,0.3801
S00048,8,1,1,69.01,31.1,14,4,1,0,43.6014,73.9,0.0422,0.6538,0.5795
S00049,6,0,1,79.39,43.41,21,1,1,0,46.1367,61.59,0.1019,0.3385,0.6003
S00050,7,1,0,45.86,21.6,18,5,1,1,38.6374,83.4,0.3635,0.3923,0.7003
S00051,7,0,0,71.83,51.82,7,2,0,0,36.7307,48.18,0.0031,0.0769,0.6449
S00052,2,0,0,73.19,18.22,4,3,0,0,37.4181,81.78,0.0158,0.1154,0.7673
S00053,3,1,1,73.21,28.39,28,3,3,0,51.6634,86.61,0.0161,0.6154,0.6118
S00054,4,0,1,51.49,18.78,11,11,1,0,48.2753,86.22,0.2854,0.7231,0.5951
S00055,4,1,0,78.7,34.43,29,1,0,0,50.6065,65.57,0.0923,0.2385,0.6255
S00056,1,0,0,87.9,39.7,41,1,0,0,61.4051,60.3,0.22,0.0385,0.6167
S00057,5,0,0,78.11,41.095,17,0,0,0,41.3287,58.905,0.0841,0.0,0.691
S00058,2,0,0,68.56,19.61,8,4,1,0,39.8621,85.39,0.0484,0.1538,0.7636
S00059,6,1,0,100.0,53.6,30,2,0,0,61.6428,46.4,0.3879,0.2769,0.5006
S00060,6,0,1,58.13,24.28,12,0,1,1,30.3706,80.72,0.1932,0.3,0.7416
S00061,8,0,1,83.6,99.31890216562122,26,1,0,0,50.7868,0.6811,0.1603,0.3385,0.3403
S00062,6,0,0,75.65,31.61,28,5,1,0,56.4856,73.39,0.05,0.1923,0.6478
S00063,3,0,1,100.0,61.83,35,1,0,0,62.6858,38.17,0.3879,0.3385,0.4487
S00064,8,0,1,77.8,42.97,25,2,1,0,49.7967,62.03,0.0798,0.3769,0.5796
S00065,4,1,1,81.02,42.56,34,4,1,0,60.2698,62.44,0.1245,0.6538,0.4754
S00066,3,0,1,79.59,46.28,31,3,0,0,55.9951,53.72,0.1046,0.4154,0.515
S00067,8,1,0,56.13,33.95,15,7,0,0,44.8118,66.05,0.221,0.4692,0.5901
S00068,3,0,0,58.97,19.84,23,3,1,0,43.0013,85.16,0.1815,0.1154,0.7613
S00069,1,0,1,67.86,33.33,9,1,0,0,34.4061,66.67,0.0582,0.3385,0.6616
S00070,4,0,1,86.36,52.73,36,1,0,0,57.823,47.27,0.1986,0.3385,0.5021
S00071,7,0,1,75.5,50.31,24,1,0,0,46.3604,49.69,0.0479,0.3385,0.5519
S00072,2,0,0,68.9,37.86,12,6,0,0,46.2171,62.14,0.0437,0.2308,0.6291
S00073,4,0,1,92.58,66.46,26,3,0,1,58.225,33.54,0.2849,0.4154,0.4265
S00074,2,0,1,42.26,37.99,22,1,1,0,31.8779,67.01,0.4135,0.3385,0.6718
S00075,6,1,1,52.56,23.28,9,3,2,0,32.1322,86.72,0.2705,0.6154,0.6806
S00076,4,0,1,34.55,33.83,12,0,0,0,20.9386,66.17,0.5205,0.3,0.7164
S00077,3,0,1,90.12,56.07,36,0,0,0,57.4039,43.93,0.2508,0.3,0.4998
