student_id,semester,hostel_resident,internet_access,attendance_percentage,avg_assignment_score,lms_login_frequency,library_visits_per_month,disciplinary_actions,dropout
S00001,1,0,1,56.68,23.61,28.0,2.0,3,0
S00002,7,1,1,62.94,33.13,27.0,4.0,2,1
S00003,6,1,1,80.01,49.4,38.0,2.0,0,0
S00004,4,0,0,71.64,41.19,38.0,4.0,1,0
S00005,4,0,1,64.84,33.66,6.0,1.0,0,0
S00006,7,0,1,58.45,25.18,20.0,0.0,0,1
S00007,1,1,1,56.8,24.6,16.0,3.0,0,0
S00008,6,1,0,70.02,48.35,23.0,6.0,1,0
S00009,2,1,1,100.0,54.09,29.0,4.0,0,0
S00010,1,0,1,80.49,49.6,21.0,1.0,1,0
S00011,5,0,1,,29.16,6.0,5.0,2,0
S00012,8,0,1,82.61,63.89,27.0,4.0,0,0
S00013,6,0,0,60.62,32.32,26.0,2.0,0,0
S00014,7,1,0,71.93,24.84,18.0,2.0,1,0
S00015,6,0,1,63.17,17.19,17.0,6.0,2,1
S00016,7,0,0,100.0,47.21,27.0,5.0,0,0
S00017,5,0,1,54.99,36.35,8.0,4.0,0,0
S00018,2,0,0,76.7,47.89,22.0,1.0,0,0
S00019,7,1,1,61.72,33.13,21.0,2.0,0,0
S00020,4,0,1,83.08,72.61,36.0,4.0,0,0
S00021,5,1,0,76.4,24.45,14.0,2.0,0,0
S00022,3,1,0,90.82,60.51,29.0,0.0,0,0
S00023,2,1,1,,45.44,36.0,0.0,0,1
S00024,8,1,1,61.6,46.57,9.0,1.0,0,0
S00025,7,1,0,,99.0498594680401,43.0,5.0,0,0
S00026,6,1,1,80.33,53.83,22.0,6.0,1,0
S00027,4,0,1,63.74,35.93,25.0,1.0,2,0
S00028,7,0,1,75.08,66.23,22.0,2.0,0,0
S00029,5,1,1,81.46,49.31,29.0,3.0,1,0
S00030,4,0,1,,51.37,38.0,4.0,0,0
S00031,4,0,0,79.44,47.11,24.0,5.0,0,0
S00032,2,1,1,86.5,59.52,36.0,3.0,1,0
S00033,1,0,1,85.02,64.55,29.0,4.0,1,0
S00034,5,0,1,59.29,44.44,12.0,5.0,0,0
S00035,8,1,0,100.0,35.64,31.0,4.0,1,0
S00036,1,0,1,100.0,52.79,31.0,3.0,0,0
S00037,7,1,0,84.01,34.82,15.0,7.0,0,0
S00038,7,0,1,72.58,49.64,26.0,0.0,0,0
S00039,3,1,1,72.84,37.32,28.0,6.0,0,0
S00040,6,1,0,67.14,60.36,27.0,2.0,0,0
S00041,2,0,1,69.08,35.67,33.0,2.0,0,0
S00042,7,0,0,39.2,9.88,18.0,3.0,0,1
S00043,6,0,1,94.95,52.8,26.0,2.0,0,0
S00044,3,0,1,89.66,56.42,26.0,2.0,0,0
S00045,1,0,1,46.85,18.8,20.0,2.0,0,0
S00046,8,1,0,85.35,61.81,30.0,0.0,1,0
